year,film,winner,nominated_for_Writing,nominated_for_BestDirector,nominated_for_BestActress,nominated_for_BestActor,nominated_for_BestFilmEditing,Adventure,Biography,Comedy,Crime,Drama,History,Musical,Romance,Thriller,War,Other
1994,Pulp Fiction,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0.5,0.5,0,0,0,0,0,0
1994,Quiz Show,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0.5,0,0,0,0,0
1995,Braveheart,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0
1995,Apollo 13,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.5,0,0,0,0.5,0,0,0,0,0,0
1995,Babe,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333
1995,Sense and Sensibility,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
1995,The Postman (Il Postino),FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0
1996,The English Patient,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0
1996,Secrets & Lies,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,0,0,0,0
1996,Fargo,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
1996,Shine,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25
1996,Jerry Maguire,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0.25,0,0.25,0,0,0.25,0,0,0.25
1997,Titanic,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0.5,0,0,0.5,0,0,0
1997,As Good as It Gets,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1997,The Full Monty,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333
1997,Good Will Hunting,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0
1997,L.A. Confidential,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0.25,0.25,0,0,0,0.25,0,0.25
1998,Shakespeare in Love,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1998,Life Is Beautiful,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
1998,Saving Private Ryan,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333
1998,The Thin Red Line,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.5,0,0,0,0,0.5,0
1998,Elizabeth,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
1999,American Beauty,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0.5,0,0,0.5,0,0,0
1999,The Insider,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0
1999,The Sixth Sense,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333
1999,The Green Mile,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0.25,0.25,0,0,0,0,0,0.5
1999,The Cider House Rules,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.5,0,0,0.5,0,0,0
2000,Gladiator,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0.5,0,0,0,0,0,0.5
2000,Chocolat,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
2000,Erin Brockovich,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0.5,0,0,0.5,0,0,0,0,0,0
2000,Traffic,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
2000,"Crouching Tiger, Hidden Dragon",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
2001,A Beautiful Mind,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.5,0,0,0.5,0,0,0,0,0,0
2001,Gosford Park,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0.5,0,0,0,0,0,0.5
2001,Moulin Rouge,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0
2001,The Lord of the Rings: The Fellowship of the Ring,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2001,In the Bedroom,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,0,0,0.5,0.5,0,0,0,0,0,0
2002,Chicago,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0
2002,The Hours,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2002,Gangs of New York,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0,0
2002,The Pianist,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0
2002,The Lord of the Rings: The Two Towers,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2003,The Lord of the Rings: The Return of the King,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2003,Lost in Translation,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0,0,0
2003,Seabiscuit,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.333333333333333
2003,Mystic River,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0.25,0.25,0,0,0,0.25,0,0.25
2003,Master and Commander: The Far Side of the World,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.25,0,0,0,0.25,0,0,0,0,0.25,0.25
2004,Million Dollar Baby,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0.5,0,0,0,0,0,0.5
2004,Finding Neverland,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2004,Sideways,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
2004,Ray,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333
2004,The Aviator,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.5,0,0,0.5,0,0,0,0,0,0
2005,Crash,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2005,"Good Night, and Good Luck.",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,1,0,0,0,0,0,0
2005,Brokeback Mountain,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
2005,Capote,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0
2005,Munich,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0
2006,The Departed,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
2006,The Queen,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0.5,0,0,0.5,0,0,0,0,0,0
2006,Letters from Iwo Jima,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0
2006,Little Miss Sunshine,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0.5,0,0.5,0,0,0,0,0,0
2006,Babel,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2007,No Country for Old Men,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0
2007,Michael Clayton,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0.25,0.25,0,0,0,0.25,0,0.25
2007,There Will Be Blood,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,0,0,0,0
2007,Juno,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0
2007,Atonement,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0.25,0,0,0.25,0,0.25,0.25
2008,Slumdog Millionaire,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0.5,0,0,0.5,0,0,0
2008,Frost/Nixon,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0.5,0.5,0,0,0,0,0
2008,The Curious Case of Benjamin Button,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
2008,Milk,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0
2008,The Reader,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0.5,0,0,0.5,0,0,0
2009,The Hurt Locker,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0
2009,Up,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.25,0,0.25,0,0,0,0,0,0,0,0.5
